epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.30270760642698774,0.2240478927269578,0.9239027777777777,0.935875,0.002
2,0.23147092133654582,0.21749451011419296,0.9362916666666666,0.94075,0.002
3,0.22546101360189766,0.2142987484112382,0.9377083333333334,0.941,0.002
4,0.22159327763806017,0.20969385653734207,0.9385972222222222,0.942,0.002
5,0.21741936013076063,0.2074347361922264,0.939375,0.942,0.002
6,0.2143628556102673,0.20297167263925076,0.9396388888888889,0.942,0.002
7,0.2091878319744742,0.1986619532108307,0.9397916666666667,0.942125,0.002
8,0.19989976292181608,0.18179877381771803,0.9400972222222223,0.942125,0.002
9,0.18589461476378288,0.16426128055900335,0.9399583333333333,0.942,0.002
10,0.17264470334957166,0.14957418153062463,0.9398888888888889,0.942125,0.002
11,0.16074667104766382,0.14292780309915543,0.9401944444444444,0.942,0.002
12,0.15209710750179647,0.14017707854509354,0.9405694444444445,0.9425,0.002
13,0.1472523082543965,0.13718660781159997,0.9405694444444445,0.9425,0.002
14,0.14431037602294403,0.13350983522832394,0.9407777777777778,0.942875,0.002
15,0.14220151193373792,0.13595573464408517,0.9423055555555555,0.94275,0.002
16,0.14223388466673043,0.13182974001392722,0.9465555555555556,0.942625,0.002
17,0.13958961599991124,0.131009625736624,0.9500833333333333,0.943125,0.002
18,0.1410124273722591,0.13229778269305825,0.94975,0.958375,0.002
19,0.1393845102966467,0.13254538318142295,0.9509027777777778,0.947125,0.002
20,0.13839735828512092,0.12888793367892504,0.9516111111111111,0.9435,0.002
21,0.13846560672163752,0.12929612817242742,0.9523194444444445,0.96125,0.002
22,0.1388251039515486,0.1331461789086461,0.9517916666666667,0.94525,0.002
23,0.13882035189051822,0.12980844220146537,0.9520277777777778,0.9585,0.002
24,0.1388646063475901,0.12973731849342585,0.9517083333333334,0.958625,0.002
25,0.1373177718695379,0.12654927233234048,0.9534166666666667,0.943375,0.002
26,0.13566719554033838,0.12660109344869852,0.9549861111111111,0.948875,0.002
27,0.13445437974155902,0.1311920708976686,0.9559305555555555,0.960375,0.002
28,0.1350265021434262,0.12866883911192417,0.9558055555555556,0.960125,0.002
29,0.13517816838532104,0.12597599299624562,0.9563333333333334,0.961125,0.002
30,0.13377637003232487,0.1258509550243616,0.9571388888888889,0.96075,0.002
31,0.13468955903848365,0.12567916559055448,0.956625,0.9625,0.002
32,0.13442404910286831,0.1256759543903172,0.9564027777777778,0.96175,0.002
33,0.1343727103743841,0.1290748044848442,0.957,0.94325,0.002
34,0.13380313679231842,0.13273596204817295,0.9569583333333334,0.96025,0.002
35,0.13343802477575534,0.13021670887246728,0.9567916666666667,0.946125,0.002
36,0.1348851324583455,0.12686475832015276,0.9567222222222223,0.962125,0.002
37,0.13473153368406143,0.12686544563621283,0.9559444444444445,0.95275,0.002
38,0.13337241008639547,0.12248635245487094,0.9560138888888889,0.965125,0.001
39,0.13044308480305422,0.12277928972616792,0.9585833333333333,0.964,0.001
40,0.13000546982032155,0.1228063884191215,0.9590972222222223,0.962875,0.001
41,0.13057564896387486,0.12373330304399133,0.9592361111111111,0.949875,0.001
42,0.13117127938338324,0.12257672939449549,0.9584444444444444,0.957375,0.001
43,0.13105868035679283,0.1257115751504898,0.9588194444444444,0.945625,0.001
44,0.13084839635113416,0.1236233077943325,0.9586666666666667,0.947625,0.001
45,0.12958151717433708,0.12182404892519116,0.9595277777777778,0.9655,0.0005
46,0.1287637058824142,0.12249780632555485,0.9598888888888889,0.963,0.0005
47,0.12854121403097046,0.12134404154494405,0.9594583333333333,0.961625,0.0005
48,0.12955986998220956,0.1230544033460319,0.9588194444444444,0.962625,0.0005
49,0.12935335822337263,0.12117488356307149,0.959125,0.965875,0.0005
50,0.12879351877853884,0.12167837424203753,0.9596666666666667,0.96525,0.0005
51,0.12855352960249036,0.12251659063622355,0.9600416666666667,0.948375,0.0005
52,0.12827993224690906,0.12158674094825983,0.9600694444444444,0.9655,0.0005
53,0.12891343799064045,0.1217502229847014,0.9598888888888889,0.96425,0.0005
54,0.12876261454439503,0.12234526174142957,0.9594861111111112,0.948375,0.0005
55,0.12779017897789263,0.12014653068035841,0.9600138888888889,0.96575,0.0005
56,0.1287530493222799,0.12671572994440794,0.9599444444444445,0.947125,0.0005
57,0.12818928925423068,0.12126160180196166,0.9600277777777778,0.965375,0.0005
58,0.12844250998980833,0.12429494084790349,0.9598611111111112,0.96325,0.0005
59,0.12849097561296308,0.12160689337179065,0.9598611111111112,0.953,0.0005
60,0.1281770503753879,0.12113916827365756,0.9600138888888889,0.966125,0.0005
61,0.1278319772279972,0.12317573931068182,0.9599722222222222,0.948,0.0005
62,0.12788204895084324,0.12054251739755273,0.9611111111111111,0.966625,0.00025
63,0.12721131014146347,0.12018191907554865,0.9609444444444445,0.965625,0.00025
64,0.126979593121402,0.12068818556144834,0.9612083333333333,0.963375,0.00025
65,0.1273410116681303,0.12049954198300838,0.9610416666666667,0.959625,0.00025
66,0.12625804031350474,0.12354280613362789,0.9611388888888889,0.947125,0.00025
67,0.12681379670783427,0.12039395980536938,0.9617638888888889,0.96525,0.00025
68,0.12622764076025195,0.12002123985439539,0.9621666666666666,0.96625,0.000125
69,0.12608782228472812,0.12020604591816664,0.9618888888888889,0.963875,0.000125
70,0.12641453834955266,0.12065963679924607,0.9614305555555556,0.9575,0.000125
71,0.1260563143351997,0.12048436002805829,0.9616944444444444,0.96475,0.000125
72,0.12684374386328892,0.11995380092412233,0.9608888888888889,0.9645,0.000125
73,0.12632543090433146,0.12010667333379388,0.962,0.964125,0.000125
74,0.12630490140185474,0.11976636713370681,0.9619305555555555,0.966375,0.000125
75,0.1259529194786324,0.12011425429955125,0.9618888888888889,0.9635,0.000125
76,0.12523000270498794,0.11999842710793018,0.9622083333333333,0.9645,0.000125
77,0.12598275743941006,0.12028584908694029,0.9621666666666666,0.96575,0.000125
78,0.1261543996870306,0.11961098341271281,0.9619027777777778,0.96625,0.000125
79,0.12620307634159472,0.12002346850931644,0.9614166666666667,0.966,0.000125
80,0.1253123421016849,0.12008745921775699,0.9624444444444444,0.963,0.000125
81,0.12624101550194233,0.11977254040539265,0.9614027777777778,0.96625,0.000125
82,0.1263172448237243,0.12055950378999114,0.9615833333333333,0.9565,0.000125
83,0.12650404466220158,0.11965257488191128,0.9617638888888889,0.966,0.000125
84,0.12684161672914537,0.11985773220658302,0.9613611111111111,0.963875,0.000125
85,0.12571436282558296,0.1199475135654211,0.9616805555555555,0.963625,6.25e-05
86,0.1260376633484029,0.11979530937969685,0.961625,0.966125,6.25e-05
87,0.12588438125687848,0.11996578611433506,0.9618055555555556,0.965,6.25e-05
88,0.1255372656082493,0.11997061874717474,0.9619166666666666,0.963625,6.25e-05
89,0.1262487834501436,0.11988357454538345,0.9616944444444444,0.96375,6.25e-05
90,0.12494883516250876,0.11996771628037095,0.9618194444444444,0.963125,6.25e-05
91,0.12603735300459193,0.11951198522001505,0.9614722222222222,0.966125,3.125e-05
92,0.12598508307263653,0.11963579431176186,0.9616944444444444,0.965125,3.125e-05
93,0.12556017210730228,0.11960414238274097,0.9625972222222222,0.96525,3.125e-05
94,0.12520560450838683,0.11952485796064138,0.9625277777777778,0.966,3.125e-05
95,0.12669971690481763,0.11972697358578444,0.9615277777777778,0.965125,3.125e-05
96,0.12548278072322877,0.12001819955185056,0.9620416666666667,0.9625,3.125e-05
97,0.1253756988217945,0.11955879721790552,0.9621388888888889,0.965125,3.125e-05
98,0.12601753450652212,0.1195204216055572,0.9618611111111111,0.966125,1.5625e-05
99,0.12622397228228474,0.11966752307489514,0.961875,0.965375,1.5625e-05
100,0.12481697570023062,0.11962715070694685,0.9621805555555556,0.964625,1.5625e-05
101,0.12569772518946265,0.1195569559931755,0.9616805555555555,0.96625,1.5625e-05
102,0.1256941550843034,0.11949907010421157,0.9620138888888888,0.966125,1.5625e-05
103,0.1259441800369198,0.11957609467208385,0.9620138888888888,0.966,1.5625e-05
104,0.12596235218495924,0.11961083533242345,0.961875,0.96525,1.5625e-05
105,0.1259282600088293,0.1195819629356265,0.9611666666666666,0.966125,1.5625e-05
106,0.12609727507983176,0.1196463699452579,0.9617083333333334,0.964875,1.5625e-05
107,0.1259089703762616,0.11979676969349384,0.961875,0.963875,1.5625e-05
108,0.12584427204876344,0.11978941643610597,0.9620833333333333,0.96375,1.5625e-05
109,0.1258498356672629,0.11955299321562052,0.9616805555555555,0.966125,1e-05
110,0.12579214255297375,0.11958764074370265,0.9623611111111111,0.96575,1e-05
111,0.1255671723942615,0.11968806711956859,0.9614722222222222,0.964625,1e-05
112,0.12565701627577813,0.11963519640266895,0.9619027777777778,0.965,1e-05
113,0.1262032819604154,0.11958211893215775,0.9618055555555556,0.966,1e-05
114,0.1260786321788338,0.1196215134114027,0.9616666666666667,0.965375,1e-05
115,0.12562318357968202,0.11980820912867785,0.9619166666666666,0.96375,1e-05
116,0.12531954142038396,0.11959231784567237,0.9624861111111112,0.965375,1e-05
117,0.12508524405119897,0.11976126581430435,0.9623888888888888,0.963875,1e-05
118,0.12514254596368882,0.11976819206029177,0.9622916666666667,0.964,1e-05
119,0.12543154676605286,0.1196369118988514,0.9619444444444445,0.96525,1e-05
120,0.1258882173133574,0.11982475267723203,0.9621805555555556,0.963875,1e-05
121,0.12613186978968274,0.11957544460892677,0.9620555555555556,0.965875,1e-05
122,0.1257048979514075,0.1197289121337235,0.9615694444444445,0.964,1e-05
123,0.12558272540185528,0.11966513050720096,0.9615694444444445,0.964625,1e-05
124,0.12570915058202262,0.11952168494462967,0.962125,0.966125,1e-05
125,0.12586059425271,0.11954386485740542,0.9621111111111111,0.966125,1e-05
126,0.12543148682394842,0.11952124442905188,0.9623333333333334,0.966125,1e-05
127,0.1254193032388683,0.11960822762921453,0.9620694444444444,0.965375,1e-05
128,0.12621326593692095,0.11960011022165418,0.9618194444444444,0.9655,1e-05
129,0.12541011317929196,0.11965691111981869,0.9620416666666667,0.963625,1e-05
130,0.1251614291095183,0.1195253417827189,0.9616805555555555,0.966125,1e-05
131,0.12545223085484328,0.11959591927006841,0.9620138888888888,0.9645,1e-05
132,0.12500056166526055,0.11952145351096988,0.9624166666666667,0.965875,1e-05
133,0.12577713969069307,0.11953889857977629,0.9618055555555556,0.966,1e-05
134,0.1257621963205706,0.11957422504201531,0.9616111111111111,0.96575,1e-05
135,0.12589217175201878,0.1195977758616209,0.9617222222222223,0.965375,1e-05
136,0.1254960533833631,0.11956960242241621,0.9621111111111111,0.965875,1e-05
137,0.1259057716686497,0.11958926683291793,0.9613472222222222,0.96625,1e-05
138,0.12507127537052967,0.11958502791821957,0.9624722222222222,0.964875,1e-05
139,0.12501060619262142,0.11951476847752929,0.9625416666666666,0.965875,1e-05
140,0.125421410932687,0.11955727310851216,0.9619861111111111,0.965875,1e-05
141,0.12549929895155384,0.11953778192400932,0.9618888888888889,0.965375,1e-05
