Feature,Benign_Mean,Attack_Mean,Cohen_d,KS_Stat,JS_Div
BRANCH_MISS_RATE,0.0004701641814293073,0.00046851192702236795,-0.03044710066004262,0.020635741263632656,0.027310740683171617
IPC,1.577209675725442,1.5784258968870692,0.008381176334329433,0.006964885637738616,0.024945005157269634
L2_PRESSURE,0.010186562518647095,0.010158884290473128,-0.008181923965518577,0.003476253215509595,0.023333210269849955
MPKI,0.6903354878173632,0.6889278426780742,-0.0020676430741520227,0.009170649821169066,0.009422874035411435
