Sample     Label        p(atk)   Status     Verdict
205        attack       0.6089   ATTACK     [TP] Correct
206        ?            0.6033   ATTACK     [??] No label
207        attack       0.6064   ATTACK     [TP] Correct
208        ?            0.6089   ATTACK     [??] No label
209        attack       0.6076   ATTACK     [TP] Correct
210        ?            0.6000   ATTACK     [??] No label
211        attack       0.6042   ATTACK     [TP] Correct
212        ?            0.6050   ATTACK     [??] No label
213        attack       0.6045   ATTACK     [TP] Correct
214        ?            0.6060   ATTACK     [??] No label
215        attack       0.6052   ATTACK     [TP] Correct
216        ?            0.6089   ATTACK     [??] No label
217        attack       0.6069   ATTACK     [TP] Correct
218        ?            0.6116   ATTACK     [??] No label
219        attack       0.6091   ATTACK     [TP] Correct
220        ?            0.6102   ATTACK     [??] No label
221        attack       0.6096   ATTACK     [TP] Correct
222        ?            0.6139   ATTACK     [??] No label
223        attack       0.6116   ATTACK     [TP] Correct
224        ?            0.6070   ATTACK     [??] No label
225        attack       0.6094   ATTACK     [TP] Correct
226        ?            0.6124   ATTACK     [??] No label
227        attack       0.6107   ATTACK     [TP] Correct
228        ?            0.6072   ATTACK     [??] No label
229        attack       0.6091   ATTACK     [TP] Correct
230        ?            0.6117   ATTACK     [??] No label
231        attack       0.6103   ATTACK     [TP] Correct
232        ?            0.6081   ATTACK     [??] No label
233        attack       0.6093   ATTACK     [TP] Correct
234        ?            0.6153   ATTACK     [??] No label
235        attack       0.6122   ATTACK     [TP] Correct
236        ?            0.6110   ATTACK     [??] No label
237        attack       0.6116   ATTACK     [TP] Correct
238        ?            0.6081   ATTACK     [??] No label
239        attack       0.6099   ATTACK     [TP] Correct
240        ?            0.6122   ATTACK     [??] No label
241        attack       0.6110   ATTACK     [TP] Correct
242        ?            0.6082   ATTACK     [??] No label
243        attack       0.6097   ATTACK     [TP] Correct
244        ?            0.6098   ATTACK     [??] No label
245        attack       0.6097   ATTACK     [TP] Correct
246        ?            0.6033   ATTACK     [??] No label
247        attack       0.6067   ATTACK     [TP] Correct
248        ?            0.6137   ATTACK     [??] No label
249        attack       0.6100   ATTACK     [TP] Correct
250        ?            0.6061   ATTACK     [??] No label
251        attack       0.6082   ATTACK     [TP] Correct
252        ?            0.6126   ATTACK     [??] No label
253        attack       0.6103   ATTACK     [TP] Correct
254        ?            0.6057   ATTACK     [??] No label
255        attack       0.6082   ATTACK     [TP] Correct
256        ?            0.6106   ATTACK     [??] No label
257        attack       0.6093   ATTACK     [TP] Correct
258        ?            0.6082   ATTACK     [??] No label
259        attack       0.6088   ATTACK     [TP] Correct
260        ?            0.6101   ATTACK     [??] No label
261        attack       0.6094   ATTACK     [TP] Correct
262        ?            0.6111   ATTACK     [??] No label
263        attack       0.6102   ATTACK     [TP] Correct
264        ?            0.6103   ATTACK     [??] No label
265        attack       0.6102   ATTACK     [TP] Correct
266        ?            0.6151   ATTACK     [??] No label
267        attack       0.6124   ATTACK     [TP] Correct
268        ?            0.6089   ATTACK     [??] No label
269        attack       0.6108   ATTACK     [TP] Correct
270        ?            0.6129   ATTACK     [??] No label
271        attack       0.6118   ATTACK     [TP] Correct
272        ?            0.6053   ATTACK     [??] No label
273        attack       0.6088   ATTACK     [TP] Correct
274        ?            0.6115   ATTACK     [??] No label
275        attack       0.6100   ATTACK     [TP] Correct
276        ?            0.6024   ATTACK     [??] No label
277        attack       0.6065   ATTACK     [TP] Correct
278        ?            0.6132   ATTACK     [??] No label
279        attack       0.6095   ATTACK     [TP] Correct
280        ?            0.6109   ATTACK     [??] No label
281        attack       0.6102   ATTACK     [TP] Correct
282        ?            0.6136   ATTACK     [??] No label
283        attack       0.6118   ATTACK     [TP] Correct
284        ?            0.6126   ATTACK     [??] No label
285        attack       0.6122   ATTACK     [TP] Correct
286        ?            0.6152   ATTACK     [??] No label
287        attack       0.6137   ATTACK     [TP] Correct
288        ?            0.6133   ATTACK     [??] No label
289        attack       0.6135   ATTACK     [TP] Correct
290        ?            0.6028   ATTACK     [??] No label
291        attack       0.6084   ATTACK     [TP] Correct
292        ?            0.6099   ATTACK     [??] No label
293        attack       0.6091   ATTACK     [TP] Correct
294        ?            0.6041   ATTACK     [??] No label
295        attack       0.6067   ATTACK     [TP] Correct
296        ?            0.6074   ATTACK     [??] No label
297        attack       0.6070   ATTACK     [TP] Correct
298        ?            0.6002   ATTACK     [??] No label
299        attack       0.6040   ATTACK     [TP] Correct
300        ?            0.6134   ATTACK     [??] No label
301        attack       0.6084   ATTACK     [TP] Correct
302        ?            0.6060   ATTACK     [??] No label
303        attack       0.6074   ATTACK     [TP] Correct
304        ?            0.6065   ATTACK     [??] No label
305        attack       0.6069   ATTACK     [TP] Correct
306        ?            0.6067   ATTACK     [??] No label
307        attack       0.6068   ATTACK     [TP] Correct
330        ?            0.6171   ATTACK     [??] No label
331        attack       0.5851   ATTACK     [TP] Correct
332        ?            0.6028   ATTACK     [??] No label
333        attack       0.5841   ATTACK     [TP] Correct
334        ?            0.5895   ATTACK     [??] No label
335        attack       0.5869   ATTACK     [TP] Correct
336        ?            0.6110   ATTACK     [??] No label
337        attack       0.5998   ATTACK     [TP] Correct
338        ?            0.6008   ATTACK     [??] No label
339        attack       0.6004   ATTACK     [TP] Correct
340        ?            0.6067   ATTACK     [??] No label
341        attack       0.6035   ATTACK     [TP] Correct
342        ?            0.6095   ATTACK     [??] No label
343        attack       0.6065   ATTACK     [TP] Correct
344        ?            0.6030   ATTACK     [??] No label
345        attack       0.6047   ATTACK     [TP] Correct
346        ?            0.6029   ATTACK     [??] No label
347        attack       0.6038   ATTACK     [TP] Correct
348        ?            0.6071   ATTACK     [??] No label
349        attack       0.6054   ATTACK     [TP] Correct
350        ?            0.6003   ATTACK     [??] No label
351        attack       0.6028   ATTACK     [TP] Correct
352        ?            0.5996   ATTACK     [??] No label
353        attack       0.6012   ATTACK     [TP] Correct
354        ?            0.6052   ATTACK     [??] No label
355        attack       0.6031   ATTACK     [TP] Correct
356        ?            0.6052   ATTACK     [??] No label
357        attack       0.6041   ATTACK     [TP] Correct
358        ?            0.5988   ATTACK     [??] No label
359        attack       0.6014   ATTACK     [TP] Correct
360        ?            0.6079   ATTACK     [??] No label
361        attack       0.6047   ATTACK     [TP] Correct
362        ?            0.6066   ATTACK     [??] No label
363        attack       0.6057   ATTACK     [TP] Correct
364        ?            0.6008   ATTACK     [??] No label
365        attack       0.6033   ATTACK     [TP] Correct
366        ?            0.5994   ATTACK     [??] No label
367        attack       0.6014   ATTACK     [TP] Correct
368        ?            0.6059   ATTACK     [??] No label
369        attack       0.6037   ATTACK     [TP] Correct
370        ?            0.6028   ATTACK     [??] No label
371        attack       0.6033   ATTACK     [TP] Correct
372        ?            0.6039   ATTACK     [??] No label
373        attack       0.6036   ATTACK     [TP] Correct
374        ?            0.6076   ATTACK     [??] No label
375        attack       0.6056   ATTACK     [TP] Correct
376        ?            0.6092   ATTACK     [??] No label
377        attack       0.6073   ATTACK     [TP] Correct
378        ?            0.6053   ATTACK     [??] No label
379        attack       0.6063   ATTACK     [TP] Correct
380        ?            0.6056   ATTACK     [??] No label
381        attack       0.6060   ATTACK     [TP] Correct
382        ?            0.6068   ATTACK     [??] No label
383        attack       0.6063   ATTACK     [TP] Correct
384        ?            0.6081   ATTACK     [??] No label
385        attack       0.6072   ATTACK     [TP] Correct
386        ?            0.6049   ATTACK     [??] No label
387        attack       0.6061   ATTACK     [TP] Correct
388        ?            0.6088   ATTACK     [??] No label
389        attack       0.6075   ATTACK     [TP] Correct
390        ?            0.6091   ATTACK     [??] No label
391        attack       0.6083   ATTACK     [TP] Correct
392        ?            0.6134   ATTACK     [??] No label
393        attack       0.6108   ATTACK     [TP] Correct
394        ?            0.6126   ATTACK     [??] No label
395        attack       0.6117   ATTACK     [TP] Correct
396        ?            0.6116   ATTACK     [??] No label
397        attack       0.6117   ATTACK     [TP] Correct
398        ?            0.6076   ATTACK     [??] No label
399        attack       0.6096   ATTACK     [TP] Correct
400        ?            0.6050   ATTACK     [??] No label
401        attack       0.6073   ATTACK     [TP] Correct
402        ?            0.6037   ATTACK     [??] No label
403        attack       0.6056   ATTACK     [TP] Correct
404        ?            0.5991   ATTACK     [??] No label
405        attack       0.6025   ATTACK     [TP] Correct
406        ?            0.6020   ATTACK     [??] No label
407        attack       0.6022   ATTACK     [TP] Correct
408        ?            0.6041   ATTACK     [??] No label
409        attack       0.6031   ATTACK     [TP] Correct
410        ?            0.6064   ATTACK     [??] No label
411        attack       0.6047   ATTACK     [TP] Correct
412        ?            0.6007   ATTACK     [??] No label
413        attack       0.6027   ATTACK     [TP] Correct
414        ?            0.6023   ATTACK     [??] No label
415        attack       0.6025   ATTACK     [TP] Correct
416        ?            0.6020   ATTACK     [??] No label
417        attack       0.6022   ATTACK     [TP] Correct
418        ?            0.6039   ATTACK     [??] No label
419        attack       0.6031   ATTACK     [TP] Correct
420        ?            0.6052   ATTACK     [??] No label
421        attack       0.6041   ATTACK     [TP] Correct
422        ?            0.6061   ATTACK     [??] No label
423        attack       0.6051   ATTACK     [TP] Correct
424        ?            0.6077   ATTACK     [??] No label
425        attack       0.6064   ATTACK     [TP] Correct
426        ?            0.6083   ATTACK     [??] No label
427        attack       0.6074   ATTACK     [TP] Correct
428        ?            0.6066   ATTACK     [??] No label
429        attack       0.6070   ATTACK     [TP] Correct
430        ?            0.6076   ATTACK     [??] No label
431        attack       0.6073   ATTACK     [TP] Correct
432        ?            0.6111   ATTACK     [??] No label
433        attack       0.6091   ATTACK     [TP] Correct
434        ?            0.6153   ATTACK     [??] No label
435        attack       0.6121   ATTACK     [TP] Correct
436        ?            0.6124   ATTACK     [??] No label
437        attack       0.6122   ATTACK     [TP] Correct
438        ?            0.6155   ATTACK     [??] No label
439        attack       0.6138   ATTACK     [TP] Correct
440        ?            0.6126   ATTACK     [??] No label
441        attack       0.6133   ATTACK     [TP] Correct
442        ?            0.6093   ATTACK     [??] No label
443        attack       0.6113   ATTACK     [TP] Correct
444        ?            0.6013   ATTACK     [??] No label
445        attack       0.6064   ATTACK     [TP] Correct
446        ?            0.6058   ATTACK     [??] No label
447        attack       0.6061   ATTACK     [TP] Correct
448        ?            0.6078   ATTACK     [??] No label
449        attack       0.6070   ATTACK     [TP] Correct
450        ?            0.6027   ATTACK     [??] No label
451        attack       0.6048   ATTACK     [TP] Correct
452        ?            0.6031   ATTACK     [??] No label
453        attack       0.6039   ATTACK     [TP] Correct
454        ?            0.6062   ATTACK     [??] No label
455        attack       0.6051   ATTACK     [TP] Correct
456        ?            0.6003   ATTACK     [??] No label
457        attack       0.6027   ATTACK     [TP] Correct
458        ?            0.5973   ATTACK     [??] No label
459        attack       0.6002   ATTACK     [TP] Correct
460        ?            0.6062   ATTACK     [??] No label
461        attack       0.6031   ATTACK     [TP] Correct
462        ?            0.6059   ATTACK     [??] No label
463        attack       0.6045   ATTACK     [TP] Correct
464        ?            0.6087   ATTACK     [??] No label
465        attack       0.6065   ATTACK     [TP] Correct
466        ?            0.6167   ATTACK     [??] No label
467        attack       0.6116   ATTACK     [TP] Correct
468        ?            0.6146   ATTACK     [??] No label
469        attack       0.6131   ATTACK     [TP] Correct
470        ?            0.6130   ATTACK     [??] No label
490        ?            0.6745   ATTACK     [??] No label
491        attack       0.6059   ATTACK     [TP] Correct
492        ?            0.6068   ATTACK     [??] No label
493        attack       0.6064   ATTACK     [TP] Correct
494        ?            0.6019   ATTACK     [??] No label
495        attack       0.6042   ATTACK     [TP] Correct
496        ?            0.5964   ATTACK     [??] No label
497        attack       0.6004   ATTACK     [TP] Correct
498        ?            0.6023   ATTACK     [??] No label
499        attack       0.6014   ATTACK     [TP] Correct
500        ?            0.6038   ATTACK     [??] No label
501        attack       0.6026   ATTACK     [TP] Correct
502        ?            0.5994   ATTACK     [??] No label
503        attack       0.6010   ATTACK     [TP] Correct
504        ?            0.6037   ATTACK     [??] No label
505        attack       0.6023   ATTACK     [TP] Correct
506        ?            0.6097   ATTACK     [??] No label
507        attack       0.6061   ATTACK     [TP] Correct
508        ?            0.6107   ATTACK     [??] No label
509        attack       0.6084   ATTACK     [TP] Correct
510        ?            0.6100   ATTACK     [??] No label
511        attack       0.6092   ATTACK     [TP] Correct
512        ?            0.6118   ATTACK     [??] No label
513        attack       0.6105   ATTACK     [TP] Correct
514        ?            0.6111   ATTACK     [??] No label
515        attack       0.6108   ATTACK     [TP] Correct
516        ?            0.6082   ATTACK     [??] No label
517        attack       0.6094   ATTACK     [TP] Correct
518        ?            0.6093   ATTACK     [??] No label
519        attack       0.6094   ATTACK     [TP] Correct
520        ?            0.6071   ATTACK     [??] No label
521        attack       0.6083   ATTACK     [TP] Correct
522        ?            0.6079   ATTACK     [??] No label
523        attack       0.6081   ATTACK     [TP] Correct
524        ?            0.6059   ATTACK     [??] No label
525        attack       0.6070   ATTACK     [TP] Correct
526        ?            0.6084   ATTACK     [??] No label
527        attack       0.6077   ATTACK     [TP] Correct
528        ?            0.6040   ATTACK     [??] No label
529        attack       0.6059   ATTACK     [TP] Correct
530        ?            0.5638   ATTACK     [??] No label
531        attack       0.5819   ATTACK     [TP] Correct
532        ?            0.5771   ATTACK     [??] No label
533        attack       0.5785   ATTACK     [TP] Correct
534        ?            0.5799   ATTACK     [??] No label
535        attack       0.5780   ATTACK     [TP] Correct
536        ?            0.5857   ATTACK     [??] No label
537        attack       0.5799   ATTACK     [TP] Correct
538        ?            0.5778   ATTACK     [??] No label
539        attack       0.5777   ATTACK     [TP] Correct
540        ?            0.6187   ATTACK     [??] No label
541        attack       0.6008   ATTACK     [TP] Correct
542        ?            0.6094   ATTACK     [??] No label
543        attack       0.6052   ATTACK     [TP] Correct
544        ?            0.6067   ATTACK     [??] No label
545        attack       0.6060   ATTACK     [TP] Correct
546        ?            0.6013   ATTACK     [??] No label
547        attack       0.6039   ATTACK     [TP] Correct
548        ?            0.6029   ATTACK     [??] No label
549        attack       0.6034   ATTACK     [TP] Correct
550        ?            0.6026   ATTACK     [??] No label
551        attack       0.6030   ATTACK     [TP] Correct
552        ?            0.6035   ATTACK     [??] No label
553        attack       0.6032   ATTACK     [TP] Correct
554        ?            0.6001   ATTACK     [??] No label
555        attack       0.6017   ATTACK     [TP] Correct
556        ?            0.6014   ATTACK     [??] No label
557        attack       0.6015   ATTACK     [TP] Correct
558        ?            0.6148   ATTACK     [??] No label
559        attack       0.6082   ATTACK     [TP] Correct
560        ?            0.6010   ATTACK     [??] No label
561        attack       0.6043   ATTACK     [TP] Correct
562        ?            0.6023   ATTACK     [??] No label
563        attack       0.6033   ATTACK     [TP] Correct
564        ?            0.6084   ATTACK     [??] No label
565        attack       0.6059   ATTACK     [TP] Correct
566        ?            0.6061   ATTACK     [??] No label
567        attack       0.6060   ATTACK     [TP] Correct
568        ?            0.5987   ATTACK     [??] No label
569        attack       0.6025   ATTACK     [TP] Correct
570        ?            0.6050   ATTACK     [??] No label
571        attack       0.6039   ATTACK     [TP] Correct
572        ?            0.5983   ATTACK     [??] No label
573        attack       0.6010   ATTACK     [TP] Correct
574        ?            0.6021   ATTACK     [??] No label
575        attack       0.6015   ATTACK     [TP] Correct
576        ?            0.5993   ATTACK     [??] No label
577        attack       0.6005   ATTACK     [TP] Correct
578        ?            0.6088   ATTACK     [??] No label
579        attack       0.6044   ATTACK     [TP] Correct
580        ?            0.6093   ATTACK     [??] No label
581        attack       0.6071   ATTACK     [TP] Correct
582        ?            0.6095   ATTACK     [??] No label
583        attack       0.6084   ATTACK     [TP] Correct
584        ?            0.6064   ATTACK     [??] No label
585        attack       0.6075   ATTACK     [TP] Correct
586        ?            0.6063   ATTACK     [??] No label
587        attack       0.6069   ATTACK     [TP] Correct
588        ?            0.5952   ATTACK     [??] No label
589        attack       0.6011   ATTACK     [TP] Correct
590        ?            0.6059   ATTACK     [??] No label
591        attack       0.6034   ATTACK     [TP] Correct
592        ?            0.6085   ATTACK     [??] No label
593        attack       0.6060   ATTACK     [TP] Correct
