threshold,recall,fpr,f1
0.0,1.0,1.0,0.2713755732772471
0.010101010101010102,0.9997847147470398,0.07745087370633616,0.8277442517760293
0.020202020202020204,0.9996616946024912,0.06489080818552014,0.8514584342951447
0.030303030303030304,0.9996001845302168,0.0576915367036844,0.8656811825809029
0.04040404040404041,0.9995694294940797,0.052164649687000644,0.8769359451729535
0.05050505050505051,0.9992926341688452,0.04902033779875258,0.8833428485985374
0.06060606060606061,0.9992003690604336,0.047107404883133544,0.8873260593480725
0.07070707070707072,0.9990465938797478,0.04605930092038419,0.8894730356922824
0.08080808080808081,0.9990158388436107,0.04537201963333543,0.8909215578716402
0.09090909090909091,0.998892818699062,0.04471910241063912,0.8922557072607895
0.10101010101010102,0.9987390435183762,0.04409482190823649,0.8935174994497028
0.11111111111111112,0.997970167614947,0.04369390782412472,0.8939980438885292
0.12121212121212122,0.9979086575426727,0.04339035858901152,0.8946207505031846
0.13131313131313133,0.9978163924342611,0.04318417420289689,0.8950192416447124
0.14141414141414144,0.9971397816392434,0.04298944450489974,0.8951037367309471
0.15151515151515152,0.9969552514224205,0.04280616949502007,0.8954077757060976
0.16161616161616163,0.9965861909887744,0.042668713237610324,0.8955215631002225
0.17171717171717174,0.9957558050130709,0.04247971088367192,0.8955178470176604
0.18181818181818182,0.9953559895432877,0.04219907102479367,0.8959264744556867
0.19191919191919193,0.9951407042903275,0.04186115772532804,0.896551724137931
0.20202020202020204,0.9943410733507612,0.04162633661891971,0.8966636159414261
0.21212121212121213,0.9934799323389205,0.04145451629715752,0.8966081936271788
0.22222222222222224,0.9929878517607258,0.04125405925510163,0.8967988334143462
0.23232323232323235,0.9927725665077657,0.04095051001998843,0.8973521439988881
0.24242424242424243,0.9922497308934338,0.040417867022525644,0.8982529407670355
0.25252525252525254,0.9918806704597878,0.04000549825029639,0.8989700491979206
0.26262626262626265,0.9916346301706904,0.03973058573547689,0.8994490550247577
0.27272727272727276,0.9904044287252037,0.03935258102760007,0.8996633561021945
0.2828282828282829,0.9872674150392127,0.0389516669434883,0.898973633728664
0.29292929292929293,0.9857604182684915,0.038602298955905175,0.898986074298456
0.30303030303030304,0.9853298477625712,0.03825293096832206,0.8995395327942498
0.31313131313131315,0.9841304013532216,0.03796656376538508,0.8995684747620989
0.32323232323232326,0.9834537905582039,0.03769737859462431,0.8998227199819906
0.33333333333333337,0.982377364293403,0.03746255748821599,0.8997999943660385
0.3434343434343435,0.9809318775949561,0.037227736381807666,0.8995910308842194
0.3535353535353536,0.9743502998616024,0.03676382151304975,0.8972881115910217
0.36363636363636365,0.9726587728740581,0.036586273847228824,0.8968225836180862
0.37373737373737376,0.9711210210671998,0.036437362901701596,0.8963706300654337
0.38383838383838387,0.9699523296939874,0.03624836054776318,0.8961950498707055
0.393939393939394,0.9689374135014609,0.0360192667854136,0.8961868324112133
0.4040404040404041,0.9679840073812087,0.03576153630277032,0.8962738313898025
0.4141414141414142,0.9664770106104875,0.03553244254042073,0.8960139142335767
0.42424242424242425,0.9655236044902352,0.035257530025601225,0.8961392992221509
0.43434343434343436,0.9636475472858681,0.034994072198899204,0.8957660310471998
0.4444444444444445,0.9575580501307089,0.034810797189019534,0.8930415328132171
0.4545454545454546,0.950422881746886,0.03458743077072869,0.8898455159307197
0.4646464646464647,0.9468860525911118,0.03439270107273154,0.8884400069256074
0.4747474747474748,0.9426726126403199,0.03424951747126305,0.8865588754230179
0.48484848484848486,0.9380593572197448,0.03408915183761834,0.8844971581023083
0.494949494949495,0.9328617561125634,0.03386578541932749,0.8822571262361838
0.5050505050505051,0.9311394740888821,0.03369396509756531,0.8817310772635932
