n_smooth,threshold,recall,fpr,f1,median_latency
1,0.0,1.0,0.9999999999997999,0.9230769230769231,0.0
1,0.01,0.9403333333333334,0.10599999999997879,0.9605039155600953,0.0
1,0.02,0.9386666666666666,0.10379999999997923,0.9597982242369502,0.0
1,0.03,0.9347666666666666,0.07519999999998496,0.9600643626217498,0.0
1,0.04,0.9324,0.017999999999996397,0.9635217526092797,0.0
1,0.05,0.9317,0.015799999999996837,0.963329312424608,0.0
1,0.06,0.9310333333333334,0.013399999999997319,0.963171143832546,0.0
1,0.07,0.9298333333333333,0.012799999999997438,0.9625769940820235,0.0
1,0.08,0.9284666666666667,0.01259999999999748,0.9618592123210802,0.0
1,0.09,0.9267333333333333,0.012399999999997519,0.9609429005944975,0.0
1,0.1,0.9251666666666667,0.012399999999997519,0.9600982410017815,0.0
1,0.11,0.9243666666666667,0.0119999999999976,0.9596996072052741,0.0
1,0.12,0.9239,0.01139999999999772,0.9594973517499221,0.0
1,0.13,0.9232333333333334,0.010599999999997878,0.9592034632034632,0.0
1,0.14,0.9221666666666667,0.010599999999997878,0.9586264250320524,0.0
1,0.15,0.9208333333333333,0.010599999999997878,0.9579042269149416,0.0
1,0.16,0.9194,0.010599999999997878,0.9571267459009283,0.0
1,0.17,0.9178333333333333,0.010199999999997959,0.9563088250616469,0.0
1,0.18,0.9165333333333333,0.010199999999997959,0.9556015083323197,0.0
1,0.19,0.9155,0.010199999999997959,0.9550385979553515,0.0
1,0.2,0.9144666666666666,0.010199999999997959,0.9544750804557711,0.0
1,0.21,0.9139,0.009999999999997998,0.9541824003341048,0.0
1,0.22,0.9134666666666666,0.009999999999997998,0.9539457653078985,0.0
1,0.23,0.913,0.009999999999997998,0.9536908077994429,0.0
1,0.24,0.9124666666666666,0.00979999999999804,0.9534158786548944,0.0
1,0.25,0.9120333333333334,0.009599999999998079,0.9531954919960285,0.0
1,0.26,0.9117,0.00919999999999816,0.9530463264630555,0.0
1,0.27,0.9113666666666667,0.00919999999999816,0.9528638890341018,0.0
1,0.28,0.9111666666666667,0.00919999999999816,0.9527543960544431,0.0
1,0.29,0.9108,0.00919999999999816,0.9525535994422172,0.0
1,0.3,0.9105666666666666,0.00919999999999816,0.9524257796837683,0.0
