n_smooth,threshold,recall,fpr,f1,median_latency
3,0.0687,0.9984,0.0576,0.9951,0.0
3,0.0773,0.9984,0.0542,0.9953,0.0
3,0.0859,0.9984,0.0536,0.9954,0.0
3,0.0944,0.9984,0.0534,0.9954,0.0
3,0.103,0.9984,0.0532,0.9954,0.0
3,0.1116,0.9984,0.0362,0.9966,0.0
3,0.1202,0.9984,0.0218,0.9976,0.0
3,0.1288,0.9983,0.0184,0.9979,0.0
3,0.1374,0.9983,0.0184,0.9978,0.0
3,0.146,0.9983,0.016,0.998,0.0
3,0.1545,0.9982,0.013,0.9982,0.0
3,0.1631,0.9982,0.012,0.9983,0.0
3,0.1717,0.9982,0.0116,0.9983,0.0
3,0.1803,0.9982,0.0114,0.9983,0.0
3,0.1889,0.9982,0.0112,0.9983,0.0
3,0.1975,0.9981,0.0112,0.9982,0.0
3,0.2061,0.9981,0.0108,0.9983,0.0
3,0.2146,0.9979,0.0106,0.9982,0.0
3,0.2232,0.9979,0.0098,0.9982,0.0
3,0.2318,0.9978,0.0098,0.9982,0.0
3,0.2404,0.9978,0.0098,0.9982,0.0
3,0.249,0.9965,0.0098,0.9976,0.0
3,0.2576,0.9963,0.0098,0.9974,0.0
3,0.2662,0.9897,0.009,0.9942,0.0
3,0.2747,0.9865,0.007,0.9927,0.0
3,0.2833,0.9805,0.0068,0.9897,0.0
3,0.2919,0.9784,0.0048,0.9888,0.0
3,0.3005,0.9768,0.0048,0.9879,0.0
3,0.3091,0.9756,0.0048,0.9873,0.0
3,0.3177,0.974,0.0038,0.9866,0.0
3,0.3263,0.9733,0.003,0.9863,0.0
3,0.3348,0.9729,0.002,0.9861,0.0
3,0.3434,0.9725,0.0016,0.986,0.0
3,0.352,0.9722,0.0016,0.9858,0.0
3,0.3606,0.9721,0.0016,0.9858,0.0
3,0.3692,0.9717,0.0008,0.9856,0.0
3,0.3778,0.9713,0.0002,0.9854,0.0
3,0.3864,0.9707,0.0,0.9851,0.0
3,0.3949,0.9702,0.0,0.9849,0.0
3,0.4035,0.9699,0.0,0.9847,0.0
3,0.4121,0.9695,0.0,0.9845,0.0
3,0.4207,0.9689,0.0,0.9842,0.0
3,0.4293,0.9686,0.0,0.9841,0.0
3,0.4379,0.9679,0.0,0.9837,0.0
3,0.4465,0.9674,0.0,0.9834,0.0
3,0.4551,0.9667,0.0,0.9831,0.0
3,0.4636,0.9661,0.0,0.9827,0.0
3,0.4722,0.965,0.0,0.9822,0.0
3,0.4808,0.9643,0.0,0.9818,0.0
3,0.4894,0.9637,0.0,0.9815,0.0
3,0.498,0.962,0.0,0.9806,0.0
3,0.5066,0.9615,0.0,0.9804,0.0
3,0.5152,0.9492,0.0,0.974,0.0
3,0.5237,0.9415,0.0,0.9699,0.0
3,0.5323,0.9025,0.0,0.9488,0.0
3,0.5409,0.8625,0.0,0.9262,0.0
3,0.5495,0.8353,0.0,0.9103,0.0
3,0.5581,0.8178,0.0,0.8998,0.0
3,0.5667,0.8115,0.0,0.896,0.0
3,0.5753,0.8059,0.0,0.8925,0.0
3,0.5838,0.8031,0.0,0.8908,0.0
3,0.5924,0.8009,0.0,0.8894,0.0
3,0.601,0.7992,0.0,0.8884,0.0
3,0.6096,0.7984,0.0,0.8879,0.0
3,0.6182,0.7972,0.0,0.8872,0.0
3,0.6268,0.7966,0.0,0.8868,0.0
3,0.6354,0.7957,0.0,0.8862,0.0
