n_smooth,threshold,recall,fpr,f1,median_latency
1,0.8339,0.9882,0.3028,0.8626,0.0
3,0.8339,0.9908,0.3032,0.8638,0.0
5,0.8339,0.9906,0.3011,0.8645,0.0
7,0.8339,0.9906,0.2994,0.8652,0.0
