,IPC,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS
Previous_Benign,1.4712392692702905,119999750.58828416,176548832.32823506,577085.1332335507,146305.27886689227,2221482.721139855
New_Benign,1.5767115330584616,123573792.20180136,189789553.83859435,127738.78352119947,88321.1084050512,1202441.9337049564
