File,Total,Recall,FPR,TP,FP,TN,FN
data_detector3.txt,133632,0.5133186461045464,0.4963347040944037,2563,63848,64791,2430
data_detector4.txt,152576,0.492765682059816,0.4910609960058957,10660,64301,66642,10973
