,IPC,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS
Previous_Attack,1.4575439126128298,119999916.33989657,174905512.515509,574539.129186622,146026.97181073704,2220912.1760607203
New_Attack,1.571232768781182,123490189.16652896,189118799.3882671,133398.59306692707,88118.8130774431,1224029.2740929918
