tau,recall,fpr,f1,n_smooth,model
0.4874,0.9963,0.0844,0.9675,1,MLP_v2
0.4925,0.9963,0.0844,0.9675,1,MLP_v2
0.4975,0.9963,0.0844,0.9675,1,MLP_v2
0.5025,0.9963,0.0844,0.9675,1,MLP_v2
0.5075,0.9962,0.0844,0.9674,1,MLP_v2
0.5126,0.9962,0.0844,0.9674,1,MLP_v2
0.5176,0.9962,0.0844,0.9674,1,MLP_v2
0.5226,0.9962,0.0844,0.9674,1,MLP_v2
0.5276,0.9958,0.0844,0.9672,1,MLP_v2
0.5327,0.9958,0.0844,0.9672,1,MLP_v2
0.5377,0.9957,0.0844,0.9672,1,MLP_v2
0.5427,0.9956,0.0844,0.9671,1,MLP_v2
0.5477,0.9956,0.0844,0.9671,1,MLP_v2
0.5528,0.9954,0.0844,0.967,1,MLP_v2
0.5578,0.9953,0.0844,0.967,1,MLP_v2
0.5628,0.9953,0.0844,0.967,1,MLP_v2
0.5678,0.9952,0.0844,0.9669,1,MLP_v2
0.5729,0.9952,0.0844,0.9669,1,MLP_v2
0.5779,0.9952,0.0844,0.9669,1,MLP_v2
0.5829,0.9952,0.0844,0.9669,1,MLP_v2
0.5879,0.9951,0.0844,0.9669,1,MLP_v2
0.593,0.995,0.0844,0.9668,1,MLP_v2
0.598,0.995,0.0844,0.9668,1,MLP_v2
0.603,0.995,0.0844,0.9668,1,MLP_v2
0.608,0.995,0.0844,0.9668,1,MLP_v2
0.6131,0.9947,0.0844,0.9667,1,MLP_v2
0.6181,0.9946,0.0844,0.9666,1,MLP_v2
0.6231,0.9942,0.0844,0.9664,1,MLP_v2
0.6281,0.994,0.0844,0.9663,1,MLP_v2
0.6332,0.9939,0.0844,0.9662,1,MLP_v2
0.6382,0.9938,0.0844,0.9662,1,MLP_v2
0.6432,0.9937,0.0844,0.9662,1,MLP_v2
0.6482,0.9937,0.0844,0.9661,1,MLP_v2
0.6533,0.9936,0.0844,0.9661,1,MLP_v2
0.6583,0.9935,0.0844,0.966,1,MLP_v2
0.6633,0.9933,0.0844,0.966,1,MLP_v2
0.6683,0.9933,0.0844,0.966,1,MLP_v2
0.6734,0.9932,0.0844,0.9659,1,MLP_v2
0.6784,0.9931,0.0844,0.9659,1,MLP_v2
0.6834,0.9928,0.0844,0.9657,1,MLP_v2
0.6884,0.9926,0.0844,0.9656,1,MLP_v2
0.6935,0.9926,0.0844,0.9656,1,MLP_v2
0.6985,0.9925,0.0844,0.9655,1,MLP_v2
0.7035,0.9925,0.0844,0.9655,1,MLP_v2
0.7085,0.9924,0.0844,0.9655,1,MLP_v2
0.7136,0.9921,0.0844,0.9654,1,MLP_v2
0.7186,0.9918,0.0844,0.9652,1,MLP_v2
0.7236,0.9917,0.0843,0.9652,1,MLP_v2
0.7286,0.9912,0.0843,0.965,1,MLP_v2
0.7337,0.9911,0.0843,0.9649,1,MLP_v2
0.7387,0.991,0.0843,0.9648,1,MLP_v2
0.7437,0.9909,0.0843,0.9648,1,MLP_v2
0.7487,0.9907,0.0843,0.9647,1,MLP_v2
0.7538,0.9906,0.0843,0.9646,1,MLP_v2
0.7588,0.9906,0.0843,0.9647,1,MLP_v2
