CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,18:07:23:716,329692,228899,349,243,1667,0,0,0,6
2,18:07:23:716,329240,227572,400,244,1717,0,0,0,3
3,18:07:23:716,326038,226519,431,187,1646,0,0,0,0
1,18:07:23:916,120004393,212079494,29,122752,6956,0,0,0,6
2,18:07:23:916,120004497,184271552,94,187901,213,0,0,0,3
3,18:07:23:916,120003364,265888027,143,60,1643,0,0,0,0
1,18:07:24:117,120002886,212389186,7,116172,6827,0,0,0,6
2,18:07:24:117,120002694,184293931,8,187693,23,0,0,0,3
3,18:07:24:117,120002690,265902578,30,16,1280,0,0,0,0
1,18:07:24:317,120002719,212483190,1,115627,6807,0,0,0,6
2,18:07:24:317,120002795,184280857,0,188093,14,0,0,0,3
3,18:07:24:317,120002710,265902893,20,7,1267,0,0,0,0
1,18:07:24:518,120002875,211703389,0,115325,6788,0,0,0,6
2,18:07:24:518,120002837,184380324,1,188168,17,0,0,0,3
3,18:07:24:518,328138,226645,378,210,1620,0,0,0,0
1,18:07:24:718,120003007,212575969,125,111304,7146,0,0,0,6
2,18:07:24:718,120003114,184257451,148,188253,325,0,0,0,3
3,18:07:24:718,120004580,21262478,211842,38003,785661,0,0,0,0
1,18:07:24:919,120003260,212370846,7,116222,6880,0,0,0,6
2,18:07:24:919,120003206,184304836,3,187378,102,0,0,0,3
3,18:07:24:919,120003501,16878945,83762,12596,360047,0,0,0,0
1,18:07:25:119,120003090,212618807,4,111852,7210,0,0,0,6
2,18:07:25:119,120003077,184279251,20,187974,500,0,0,0,3
3,18:07:25:119,120003520,18690338,135341,46434,544137,0,0,0,0
1,18:07:25:319,120003086,212469080,7,115958,6891,0,0,0,6
2,18:07:25:319,120003288,184283518,3,188038,102,0,0,0,3
3,18:07:25:319,120003964,34974093,147903,64274,750660,0,0,0,0
1,18:07:25:520,120003150,212451297,0,114960,6809,0,2,98,6
2,18:07:25:520,120002826,184293195,2,187686,9,0,2,98,3
3,18:07:25:520,120002912,265903925,20,8,1304,0,2,98,0
1,18:07:25:720,120014116,212235324,5,120219,6898,0,2,92,6
2,18:07:25:720,120014334,184314666,36,187543,138,0,2,93,3
3,18:07:25:720,120003653,92689840,298759,1167787,1658480,0,0,0,0
1,18:07:25:921,120010549,212574252,0,112496,6805,0,1,85,6
2,18:07:25:921,120010244,184301165,11,187612,28,0,1,86,3
3,18:07:25:921,120004001,81339586,657242,1130796,3173769,0,0,0,0
1,18:07:26:121,120010336,212453740,0,113839,6797,0,1,85,6
2,18:07:26:121,120010352,184293350,3,188045,17,0,1,86,3
3,18:07:26:121,120003898,69914564,552528,1005833,2462045,0,0,0,0
1,18:07:26:322,120010505,212440865,0,115448,6818,0,1,84,6
2,18:07:26:322,120010250,184291125,7,188048,22,0,1,86,3
3,18:07:26:322,120004165,76635092,781564,1350108,2814116,0,2,99,0
1,18:07:26:522,120010128,212252445,0,119474,6797,0,1,84,6
2,18:07:26:522,120010253,184288789,3,188095,17,0,1,86,3
3,18:07:26:522,120012709,95429167,504665,1971942,2678283,0,2,98,0
1,18:07:26:722,120010127,212418009,0,116085,6779,0,1,84,6
2,18:07:26:722,120010316,184297971,3,187940,15,0,1,86,3
3,18:07:26:722,120012608,111014240,365068,2452643,2520931,0,2,97,0
1,18:07:26:923,120010217,212177173,0,120629,6801,0,1,84,6
2,18:07:26:923,120010265,184290117,2,188020,15,0,1,86,3
3,18:07:26:923,120012628,114175750,424046,2073765,2919483,0,2,99,0
1,18:07:27:123,120010191,212406700,0,115878,6761,0,1,84,6
2,18:07:27:123,120010185,184310833,2,187274,17,0,1,86,3
3,18:07:27:123,120012847,107718580,362946,2224944,2694700,0,2,97,0
