Sample     Label        p(atk)   Status     Verdict
297        attack       0.6097   ATTACK     [TP] Correct
298        ?            0.6058   ATTACK     [??] No label
299        attack       0.6079   ATTACK     [TP] Correct
300        ?            0.6096   ATTACK     [??] No label
301        attack       0.6087   ATTACK     [TP] Correct
302        ?            0.6008   ATTACK     [??] No label
303        attack       0.6052   ATTACK     [TP] Correct
304        ?            0.6033   ATTACK     [??] No label
305        attack       0.6043   ATTACK     [TP] Correct
306        ?            0.6006   ATTACK     [??] No label
307        attack       0.6025   ATTACK     [TP] Correct
330        ?            0.6276   ATTACK     [??] No label
331        attack       0.5967   ATTACK     [TP] Correct
332        ?            0.6139   ATTACK     [??] No label
333        attack       0.5963   ATTACK     [TP] Correct
334        ?            0.5978   ATTACK     [??] No label
335        attack       0.5970   ATTACK     [TP] Correct
336        ?            0.6158   ATTACK     [??] No label
337        attack       0.6072   ATTACK     [TP] Correct
338        ?            0.6133   ATTACK     [??] No label
339        attack       0.6103   ATTACK     [TP] Correct
340        ?            0.6084   ATTACK     [??] No label
341        attack       0.6094   ATTACK     [TP] Correct
342        ?            0.6123   ATTACK     [??] No label
343        attack       0.6109   ATTACK     [TP] Correct
344        ?            0.6101   ATTACK     [??] No label
345        attack       0.6105   ATTACK     [TP] Correct
346        ?            0.6082   ATTACK     [??] No label
347        attack       0.6094   ATTACK     [TP] Correct
348        ?            0.6069   ATTACK     [??] No label
349        attack       0.6082   ATTACK     [TP] Correct
350        ?            0.6075   ATTACK     [??] No label
351        attack       0.6079   ATTACK     [TP] Correct
352        ?            0.6091   ATTACK     [??] No label
353        attack       0.6084   ATTACK     [TP] Correct
354        ?            0.6106   ATTACK     [??] No label
355        attack       0.6094   ATTACK     [TP] Correct
356        ?            0.6112   ATTACK     [??] No label
357        attack       0.6103   ATTACK     [TP] Correct
358        ?            0.6123   ATTACK     [??] No label
359        attack       0.6114   ATTACK     [TP] Correct
360        ?            0.6108   ATTACK     [??] No label
361        attack       0.6110   ATTACK     [TP] Correct
362        ?            0.6094   ATTACK     [??] No label
363        attack       0.6103   ATTACK     [TP] Correct
364        ?            0.6130   ATTACK     [??] No label
365        attack       0.6116   ATTACK     [TP] Correct
366        ?            0.6146   ATTACK     [??] No label
367        attack       0.6131   ATTACK     [TP] Correct
368        ?            0.6059   ATTACK     [??] No label
369        attack       0.6094   ATTACK     [TP] Correct
370        ?            0.6090   ATTACK     [??] No label
371        attack       0.6093   ATTACK     [TP] Correct
372        ?            0.6146   ATTACK     [??] No label
373        attack       0.6118   ATTACK     [TP] Correct
374        ?            0.5995   ATTACK     [??] No label
375        attack       0.6054   ATTACK     [TP] Correct
376        ?            0.5946   ATTACK     [??] No label
377        attack       0.6001   ATTACK     [TP] Correct
378        ?            0.6012   ATTACK     [??] No label
379        attack       0.6003   ATTACK     [TP] Correct
380        ?            0.5999   ATTACK     [??] No label
381        attack       0.6003   ATTACK     [TP] Correct
382        ?            0.5936   ATTACK     [??] No label
383        attack       0.5970   ATTACK     [TP] Correct
384        ?            0.6061   ATTACK     [??] No label
385        attack       0.6019   ATTACK     [TP] Correct
386        ?            0.6077   ATTACK     [??] No label
387        attack       0.6047   ATTACK     [TP] Correct
388        ?            0.6091   ATTACK     [??] No label
389        attack       0.6069   ATTACK     [TP] Correct
390        ?            0.6083   ATTACK     [??] No label
391        attack       0.6077   ATTACK     [TP] Correct
392        ?            0.6113   ATTACK     [??] No label
393        attack       0.6095   ATTACK     [TP] Correct
394        ?            0.6062   ATTACK     [??] No label
395        attack       0.6078   ATTACK     [TP] Correct
396        ?            0.6103   ATTACK     [??] No label
397        attack       0.6090   ATTACK     [TP] Correct
398        ?            0.6121   ATTACK     [??] No label
399        attack       0.6106   ATTACK     [TP] Correct
400        ?            0.6126   ATTACK     [??] No label
401        attack       0.6116   ATTACK     [TP] Correct
402        ?            0.6111   ATTACK     [??] No label
403        attack       0.6114   ATTACK     [TP] Correct
404        ?            0.6168   ATTACK     [??] No label
405        attack       0.6142   ATTACK     [TP] Correct
406        ?            0.6149   ATTACK     [??] No label
407        attack       0.6146   ATTACK     [TP] Correct
408        ?            0.6075   ATTACK     [??] No label
409        attack       0.6110   ATTACK     [TP] Correct
410        ?            0.6058   ATTACK     [??] No label
411        attack       0.6085   ATTACK     [TP] Correct
412        ?            0.6053   ATTACK     [??] No label
413        attack       0.6068   ATTACK     [TP] Correct
414        ?            0.6052   ATTACK     [??] No label
415        attack       0.6060   ATTACK     [TP] Correct
416        ?            0.6065   ATTACK     [??] No label
417        attack       0.6062   ATTACK     [TP] Correct
418        ?            0.6120   ATTACK     [??] No label
419        attack       0.6091   ATTACK     [TP] Correct
420        ?            0.6118   ATTACK     [??] No label
421        attack       0.6104   ATTACK     [TP] Correct
422        ?            0.6130   ATTACK     [??] No label
423        attack       0.6118   ATTACK     [TP] Correct
424        ?            0.6127   ATTACK     [??] No label
425        attack       0.6122   ATTACK     [TP] Correct
426        ?            0.6152   ATTACK     [??] No label
427        attack       0.6137   ATTACK     [TP] Correct
428        ?            0.6138   ATTACK     [??] No label
429        attack       0.6138   ATTACK     [TP] Correct
430        ?            0.6111   ATTACK     [??] No label
431        attack       0.6124   ATTACK     [TP] Correct
432        ?            0.6113   ATTACK     [??] No label
433        attack       0.6118   ATTACK     [TP] Correct
434        ?            0.6136   ATTACK     [??] No label
435        attack       0.6128   ATTACK     [TP] Correct
436        ?            0.6115   ATTACK     [??] No label
437        attack       0.6121   ATTACK     [TP] Correct
438        ?            0.6084   ATTACK     [??] No label
439        attack       0.6103   ATTACK     [TP] Correct
440        ?            0.6093   ATTACK     [??] No label
441        attack       0.6098   ATTACK     [TP] Correct
442        ?            0.6121   ATTACK     [??] No label
443        attack       0.6110   ATTACK     [TP] Correct
444        ?            0.6086   ATTACK     [??] No label
445        attack       0.6098   ATTACK     [TP] Correct
446        ?            0.6045   ATTACK     [??] No label
447        attack       0.6072   ATTACK     [TP] Correct
448        ?            0.6103   ATTACK     [??] No label
449        attack       0.6087   ATTACK     [TP] Correct
450        ?            0.6108   ATTACK     [??] No label
451        attack       0.6097   ATTACK     [TP] Correct
452        ?            0.6090   ATTACK     [??] No label
453        attack       0.6094   ATTACK     [TP] Correct
454        ?            0.6025   ATTACK     [??] No label
455        attack       0.6059   ATTACK     [TP] Correct
456        ?            0.6085   ATTACK     [??] No label
457        attack       0.6072   ATTACK     [TP] Correct
458        ?            0.6065   ATTACK     [??] No label
459        attack       0.6068   ATTACK     [TP] Correct
460        ?            0.6091   ATTACK     [??] No label
461        attack       0.6080   ATTACK     [TP] Correct
462        ?            0.6071   ATTACK     [??] No label
463        attack       0.6075   ATTACK     [TP] Correct
464        ?            0.6152   ATTACK     [??] No label
465        attack       0.6115   ATTACK     [TP] Correct
466        ?            0.6085   ATTACK     [??] No label
467        attack       0.6100   ATTACK     [TP] Correct
468        ?            0.6089   ATTACK     [??] No label
469        attack       0.6095   ATTACK     [TP] Correct
470        ?            0.6055   ATTACK     [??] No label
490        ?            0.6757   ATTACK     [??] No label
491        attack       0.6055   ATTACK     [TP] Correct
492        ?            0.6110   ATTACK     [??] No label
493        attack       0.6084   ATTACK     [TP] Correct
494        ?            0.6122   ATTACK     [??] No label
495        attack       0.6103   ATTACK     [TP] Correct
496        ?            0.6100   ATTACK     [??] No label
497        attack       0.6102   ATTACK     [TP] Correct
498        ?            0.6103   ATTACK     [??] No label
499        attack       0.6103   ATTACK     [TP] Correct
500        ?            0.6085   ATTACK     [??] No label
501        attack       0.6094   ATTACK     [TP] Correct
502        ?            0.6059   ATTACK     [??] No label
503        attack       0.6076   ATTACK     [TP] Correct
504        ?            0.6067   ATTACK     [??] No label
505        attack       0.6072   ATTACK     [TP] Correct
506        ?            0.6067   ATTACK     [??] No label
507        attack       0.6069   ATTACK     [TP] Correct
508        ?            0.6042   ATTACK     [??] No label
